"mean intensity","intensity sd","max intensity","min intensity","median intensity","mode intensity","intensity skewness","intensity kurtosis","volume object","volume ellipsoid","volume box","volume ball","surface area","Feret diameter","mean breadth","geodesic diameter","ball radius","semi-axis a","semi-axis b","semi-axis c","mean radius","radius sd","max radius","min radius","compactness","discrete compactness","sphericity","Euler number","geodesic elongation","semi-axes ratio a/b","semi-axes ratio a/c","semi-axes ratio b/c","object vol./ellipsoid vol. ratio","object vol./box vol. ratio","ball vol./object vol. ratio","x coordinate","y coordinate","z coordinate","semi-axis a trend","semi-axis a plunge","semi-axis b trend","semi-axis b plunge","semi-axis c trend","semi-axis c plunge"
176.596,33.942,254,127,173,128,0.348,-0.953,392707,392729.410950663,753571,333038.142811952,26695.0753666667,91.4549102783203,86.149,101.667,43,45.443,45.437,45.422,45.0023715151589,0.280788934705258,45.7288823514718,44.1466101529491,0.916845599303874,0.996609336354222,0.971475982775432,2.5,1.182,1,1,1,0.999942935390022,0.521128068888001,0.848057566613153,200.000241910636,600.001390349548,99.998757343261,267.246413096742,1.60522065284608,357.306388962315,0.744724995103326,113.198590513648,88.2551329852448
176.561,33.954,254,127,173,128,0.348,-0.953,392977,392994.595481179,753571,333038.142811952,26428.4283333333,91.3454971313477,89.036,101.667,43,45.471,45.443,45.418,45.0135391188032,0.275214197224911,45.7284736279636,44.2818582200783,0.946177526402582,0.996771091460984,0.981727318263729,2,1.182,1.001,1.001,1.001,0.999955227167546,0.521486362930633,0.847474897543499,300.000170493439,600.000804118307,99.9987403842973,90.719758361513,37.2344810078599,355.375425462185,6.95274711108916,256.414008792111,51.8916422862426
176.618,33.933,254,127,173,128,0.347,-0.953,392556,392576.33934298,753571,333038.142811952,26220.1776,91.4330368041992,89.857,101.667,43,45.45,45.426,45.408,44.9973289521226,0.277903404014131,45.7173868837632,44.2472296903859,0.966826901179495,0.996919562478888,0.988817723167665,1,1.182,1.001,1.001,1,0.99994819009466,0.520927689627122,0.848383779160047,399.999304557821,600.000873760686,99.9981276556721,289.630702275808,1.14561395773547,19.7079788429787,4.70479898803679,186.115503566285,85.151773811242
176.56,33.953,254,127,173,128,0.349,-0.953,392982,392999.53616135,753571,333038.142811952,26427.5810333333,91.4549102783203,89.088,101.667,43,45.471,45.443,45.419,45.0137725677341,0.275135286473574,45.7280687860458,44.2817777900287,0.946292615727531,0.996770390181813,0.981767121137372,1.5,1.182,1.001,1.001,1.001,0.999955378671635,0.521492998005497,0.84746411492626,499.999208615153,600.000529286329,99.9986971413449,272.213572787789,36.6431085384757,176.528272509899,7.58844383535559,76.5771296283751,52.2838771624321
176.68,33.915,254,127,173,128,0.347,-0.952,392003,392019.278335747,753571,333038.142811952,26152.5359333333,91.2030715942383,91.646,101.333,43,45.42,45.42,45.379,44.9759103099201,0.275060730789025,45.701096117876,44.2312878575078,0.97160498057129,0.996959933115556,0.990443966628531,1,1.178,1,1.001,1.001,0.99995847567544,0.520193850347213,0.849580597117756,100.000364793127,600.001602028556,100.251929194419,358.566470883998,1.77682084013223,268.510645273449,0.343654419088113,167.275644314578,88.1779034327023
176.679,33.916,254,127,173,128,0.347,-0.952,392003,392019.278335714,753571,333038.142811952,26152.5359333333,91.2030715942383,91.646,101.333,43,45.42,45.42,45.379,44.9759103099202,0.275060730783992,45.701096117876,44.2312878575078,0.97160498057129,0.996959933115556,0.990443966628531,1,1.178,1,1.001,1.001,0.999958475675526,0.520193850347213,0.849580597117756,599.998397971444,600.000364793127,100.251929194419,88.5664708839984,1.77682084013223,358.510645273449,0.343654419088113,257.275644314578,88.1779034327023
176.544,33.962,254,127,173,128,0.349,-0.953,276104,276118.524112522,531441,235942.967181417,20646.1714333333,81.1233596801758,81.366,90,38.333,40.41,40.41,40.382,39.9709675438789,0.274343680136508,40.6744835203426,39.2697936401876,0.979668587603897,0.99658464691642,0.993176407018855,1,1.174,1,1.001,1.001,0.999947398992629,0.519538387139871,0.85454382110153,99.9998659925246,499.999942050821,99.7429374438617,23.386642153982,1.26602595146382e-11,293.386642153982,0.00475934098668315,113.386931736445,89.9952395281829
176.431,33.998,254,127,172,128,0.351,-0.954,276797,276814.272610759,531441,242164.258149294,20963.0863666667,81.535270690918,80.695,90.333,38.667,40.461,40.44,40.403,40.0048512809135,0.275569608769687,40.7677677717735,39.2560198512013,0.940609715574938,0.996334299835125,0.979797860423989,2.5,1.168,1.001,1.001,1.001,0.999937602166983,0.52084238890112,0.874880356901608,299.99992051937,499.999808523936,100.00045159449,113.823404054118,37.3724823686986,13.4224855501585,13.2360082086701,267.43754684206,49.5569388377905
176.425,34,254,127,172,128,0.35,-0.954,276801,276818.228746475,531441,242164.258149294,20963.89,81.3387985229492,80.695,90.333,38.667,40.461,40.441,40.403,40.0049790533275,0.275543905984407,40.7680324667872,39.2560157032343,0.940528729858649,0.996333280210142,0.979769739689231,2.5,1.168,1.001,1.001,1.001,0.999937761517539,0.520849915606812,0.874867714167559,500.000014450815,499.999790463185,100.000433524445,296.144479886278,37.6022565004714,194.881929107681,14.2374060122814,87.9079337205198,48.8760522081591
176.543,33.963,254,127,173,128,0.349,-0.953,276104,276118.524112523,531441,235942.967181417,20646.1714333333,81.1233596801758,81.366,90,38.333,40.41,40.41,40.382,39.9709675438789,0.274343680139309,40.6744835203425,39.2697936401876,0.979668587603897,0.99658464691642,0.993176407018855,1,1.174,1,1.001,1.001,0.999947398992624,0.519538387139871,0.85454382110153,600.000057949179,499.999865992525,99.7429374438617,113.386642153982,7.70499956886354e-12,23.386642153982,0.00475934098668315,203.386931736445,89.9952395281829
